frame_index,time_seconds,num_hands,left_wrist_x,left_wrist_y,left_pinch_m,right_wrist_x,right_wrist_y,right_pinch_m
159,2.651071,1,nan,nan,nan,0.877560,1.001583,0.063147
160,2.667745,1,nan,nan,nan,0.877654,0.999188,0.064745
161,2.684418,1,nan,nan,nan,0.878461,0.997529,0.063680
162,2.701091,1,nan,nan,nan,0.877424,0.995966,0.061191
163,2.717765,1,nan,nan,nan,0.878406,0.994769,0.061255
164,2.734438,1,nan,nan,nan,0.877155,0.996511,0.062800
165,2.751112,1,nan,nan,nan,0.878738,0.994550,0.060806
166,2.767785,1,nan,nan,nan,0.878685,0.992386,0.062099
167,2.784458,1,nan,nan,nan,0.882800,0.987363,0.060366
168,2.801132,1,nan,nan,nan,0.882359,0.985832,0.062358
169,2.817805,1,nan,nan,nan,0.884823,0.983160,0.063362
170,2.834479,2,0.221305,1.041230,0.068643,0.885283,0.983114,0.062643
171,2.851152,2,0.228612,1.025811,0.086795,0.884950,0.981696,0.061939
172,2.867826,2,0.229797,1.011670,0.078313,0.887153,0.980827,0.060849
173,2.884499,2,0.228305,0.999925,0.081463,0.889624,0.976770,0.061802
174,2.901172,2,0.230472,0.993239,0.084768,0.890652,0.974465,0.063234
175,2.917846,2,0.229134,0.981922,0.084752,0.891885,0.973767,0.060897
176,2.934519,2,0.227594,0.978754,0.078896,0.892426,0.972354,0.062110
177,2.951193,2,0.223157,0.968089,0.080570,0.893385,0.971341,0.061874
178,2.967866,2,0.221574,0.962670,0.077215,0.894446,0.971460,0.061608
179,2.984539,2,0.223164,0.958912,0.072493,0.893938,0.971229,0.060755
180,3.001213,2,0.221481,0.953137,0.074419,0.895115,0.970937,0.062003
181,3.017886,2,0.221619,0.950522,0.071821,0.895009,0.970313,0.063189
182,3.034560,2,0.222448,0.945814,0.071797,0.894019,0.970138,0.063200
183,3.051233,2,0.219537,0.938071,0.077902,0.892986,0.970177,0.060797
184,3.067906,2,0.220400,0.935645,0.077335,0.892813,0.968825,0.059234
185,3.084580,2,0.219947,0.929318,0.078548,0.893309,0.968337,0.059824
186,3.101253,2,0.220411,0.924871,0.081005,0.893476,0.966585,0.059766
187,3.117927,2,0.221145,0.920337,0.082915,0.893041,0.965712,0.060247
188,3.134600,2,0.222286,0.920136,0.081422,0.892192,0.965569,0.061301
189,3.151273,2,0.221674,0.916820,0.084107,0.890375,0.963625,0.060616
190,3.167947,2,0.222988,0.915725,0.083558,0.889393,0.962927,0.061637
191,3.184620,2,0.223461,0.915006,0.083780,0.889039,0.962248,0.061760
192,3.201294,2,0.223799,0.914929,0.084975,0.887049,0.961518,0.062225
193,3.217967,2,0.225599,0.916864,0.080171,0.886413,0.960419,0.062877
194,3.234640,2,0.225138,0.916243,0.082795,0.885455,0.957803,0.064003
195,3.251314,2,0.226270,0.916086,0.079903,0.885346,0.953968,0.062321
196,3.267987,2,0.225268,0.914569,0.085019,0.883887,0.951183,0.061180
197,3.284661,2,0.227640,0.917110,0.079097,0.882309,0.947034,0.062177
198,3.301334,2,0.227868,0.915693,0.082978,0.879572,0.943734,0.061170
199,3.318007,2,0.228584,0.916894,0.077302,0.878064,0.941520,0.062426
200,3.334681,2,0.227338,0.915763,0.083359,0.874476,0.937878,0.061979
201,3.351354,2,0.229035,0.918290,0.077837,0.872328,0.936022,0.061618
202,3.368028,2,0.229336,0.919571,0.079077,0.871117,0.932265,0.061546
203,3.384701,2,0.229756,0.920411,0.077810,0.869026,0.928502,0.062635
204,3.401374,2,0.230222,0.921656,0.078331,0.867204,0.925581,0.061062
205,3.418048,2,0.231743,0.923306,0.078533,0.866362,0.921699,0.061358
206,3.434721,2,0.232627,0.925588,0.078061,0.865840,0.918407,0.062374
207,3.451395,2,0.231696,0.926581,0.079674,0.865391,0.916224,0.061609
208,3.468068,2,0.231243,0.930036,0.078964,0.864395,0.912525,0.061231
209,3.484741,2,0.231343,0.932492,0.077876,0.865051,0.909615,0.064701
210,3.501415,2,0.230446,0.935111,0.079604,0.863958,0.906452,0.063991
211,3.518088,2,0.230773,0.938251,0.077524,0.862971,0.903966,0.064093
212,3.534762,2,0.230149,0.937802,0.079664,0.862203,0.898833,0.063353
213,3.551435,2,0.228592,0.939811,0.081973,0.863308,0.895043,0.066666
214,3.568108,2,0.227915,0.943064,0.078998,0.861838,0.893019,0.066648
215,3.584782,2,0.226884,0.942635,0.079241,0.859598,0.886206,0.063926
216,3.601455,2,0.226435,0.945226,0.081235,0.858483,0.883482,0.065834
217,3.618129,2,0.226300,0.946535,0.076678,0.860785,0.880944,0.070100
218,3.634802,2,0.226591,0.948748,0.074733,0.857738,0.877549,0.065383
219,3.651475,2,0.225473,0.945874,0.074928,0.856546,0.871477,0.063848
220,3.668149,2,0.224413,0.946418,0.075788,0.855995,0.866639,0.064854
221,3.684822,2,0.224497,0.947007,0.075454,0.855369,0.863860,0.065981
222,3.701496,2,0.223344,0.945885,0.076616,0.853837,0.859161,0.062400
223,3.718169,2,0.223380,0.944968,0.077021,0.852206,0.855267,0.060056
224,3.734843,2,0.223488,0.944429,0.075414,0.851205,0.852540,0.059907
225,3.751516,2,0.222950,0.944844,0.076864,0.851108,0.850068,0.060176
226,3.768189,2,0.222516,0.945128,0.075268,0.850448,0.846220,0.060775
227,3.784863,2,0.221698,0.945014,0.074045,0.850261,0.844305,0.061893
228,3.801536,2,0.221572,0.944704,0.074431,0.849472,0.840950,0.061579
229,3.818210,2,0.220929,0.944515,0.073841,0.848714,0.837527,0.061320
230,3.834883,2,0.219039,0.942293,0.077816,0.848288,0.835424,0.060932
231,3.851556,2,0.217957,0.942824,0.076890,0.846843,0.832894,0.057918
232,3.868230,2,0.219185,0.940986,0.078548,0.846123,0.830920,0.059309
233,3.884903,2,0.218170,0.939116,0.079534,0.847434,0.829945,0.062127
234,3.901577,2,0.218481,0.938626,0.077175,0.844032,0.828435,0.058225
235,3.918250,2,0.218674,0.938320,0.077147,0.847743,0.829657,0.061057
236,3.934923,2,0.219212,0.938201,0.077157,0.843960,0.824723,0.057707
237,3.951597,2,0.218564,0.936033,0.080390,0.846701,0.824737,0.060952
238,3.968270,2,0.218897,0.936783,0.078521,0.844937,0.823583,0.059636
239,3.984944,2,0.219127,0.936133,0.079270,0.845397,0.822151,0.057767
240,4.001617,2,0.219075,0.936555,0.077961,0.844493,0.819622,0.056698
241,4.018290,2,0.219099,0.935746,0.080224,0.845860,0.820238,0.056890
242,4.034964,2,0.219226,0.937193,0.079852,0.847439,0.821459,0.057520
243,4.051637,2,0.219548,0.936629,0.078749,0.845005,0.819637,0.051389
244,4.068311,2,0.219752,0.935135,0.082987,0.847463,0.821370,0.052182
245,4.084984,2,0.219539,0.936616,0.079559,0.848690,0.822329,0.051411
246,4.101657,2,0.220207,0.934542,0.079590,0.849634,0.822109,0.050862
247,4.118331,2,0.219521,0.934846,0.081077,0.850514,0.822728,0.052226
248,4.135004,2,0.220780,0.934400,0.078779,0.851283,0.822526,0.052573
249,4.151678,2,0.220563,0.935150,0.080574,0.849962,0.819686,0.051710
250,4.168351,2,0.220856,0.933381,0.079259,0.850791,0.816026,0.054730
251,4.185024,2,0.220779,0.934032,0.078890,0.851362,0.818333,0.053164
252,4.201698,2,0.221379,0.932861,0.078756,0.851147,0.817008,0.053035
253,4.218371,2,0.220697,0.932387,0.080817,0.851020,0.817081,0.051698
254,4.235045,2,0.221681,0.933663,0.079186,0.851746,0.815697,0.054386
255,4.251718,2,0.221711,0.934456,0.077996,0.852197,0.816474,0.053239
256,4.268391,2,0.221427,0.932504,0.079730,0.853113,0.817410,0.053997
257,4.285065,2,0.221230,0.934266,0.078372,0.852507,0.817351,0.052583
258,4.301738,2,0.223554,0.933464,0.076664,0.849501,0.814833,0.050720
259,4.318412,2,0.223709,0.933758,0.070627,0.848340,0.811769,0.051217
260,4.335085,2,0.223831,0.931577,0.073672,0.847723,0.807182,0.054050
261,4.351758,2,0.223477,0.931424,0.075861,0.845716,0.806778,0.049162
262,4.368432,2,0.222398,0.932470,0.075844,0.844264,0.807126,0.050433
263,4.385105,2,0.222463,0.934246,0.075979,0.843641,0.805950,0.052730
264,4.401779,2,0.222580,0.936023,0.076098,0.842757,0.803387,0.053776
265,4.418452,2,0.222654,0.935464,0.075951,0.841050,0.802035,0.054633
266,4.435125,2,0.221743,0.935664,0.077740,0.839591,0.799167,0.056256
267,4.451799,2,0.222071,0.936356,0.075920,0.839281,0.798616,0.058154
268,4.468472,2,0.221819,0.935245,0.077500,0.837357,0.798454,0.056928
269,4.485146,2,0.220186,0.935101,0.081226,0.836911,0.798518,0.057935
270,4.501819,2,0.220976,0.937027,0.077306,0.835703,0.794498,0.056493
271,4.518493,2,0.220200,0.936243,0.078901,0.834707,0.794672,0.057827
272,4.535166,2,0.219873,0.938127,0.080768,0.832999,0.790760,0.057170
273,4.551839,2,0.219851,0.936914,0.080395,0.831213,0.788080,0.055558
274,4.568513,2,0.219319,0.938101,0.081978,0.830423,0.785504,0.057653
275,4.585186,2,0.218868,0.938231,0.080370,0.829306,0.783400,0.056577
276,4.601860,2,0.217772,0.936805,0.085191,0.829469,0.781837,0.057922
277,4.618533,2,0.218325,0.938758,0.080575,0.829106,0.777768,0.059516
278,4.635206,2,0.217661,0.939257,0.077039,0.827399,0.772318,0.057174
279,4.651880,2,0.216998,0.939651,0.077300,0.827094,0.772230,0.058875
280,4.668553,2,0.216451,0.940773,0.076590,0.825225,0.766476,0.057613
281,4.685227,2,0.216145,0.940693,0.075014,0.825786,0.766286,0.058521
282,4.701900,2,0.215175,0.938542,0.076262,0.826564,0.763684,0.058456
